ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;CONSUMO
2000;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3173,317
2000;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;14762,0362
2000;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3115,3171
2000;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;3044,974
2000;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;14524,3878
2000;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;15899,46
2000;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;15058,868
2000;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;TERRA;15698,9533
2000;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;88
2000;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;9422,0611
2000;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;8837,4297
2000;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;90
2000;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;93
2000;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;8970,5305
2000;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;9911,6511
2000;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;10650,5482
2000;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;TERRA;9601,0234
2000;MAI;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;92,9999
2000;JUN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;90
2000;MAR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;93
2000;ABR;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;90,0001
2000;SET;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;90,0001
2000;OUT;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;93,0001
2000;JUL;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;93
2000;AGO;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;TERRA;93
2000;NOV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;7143
2000;DEZ;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;7554
2000;SET;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;7729
