Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da instalação de Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação de Gasoduto;Nome da Variável;01/11/2022;02/11/2022;03/11/2022;04/11/2022;05/11/2022;06/11/2022;07/11/2022;08/11/2022;09/11/2022;10/11/2022;11/11/2022;12/11/2022;13/11/2022;14/11/2022;15/11/2022;16/11/2022;17/11/2022;18/11/2022;19/11/2022;20/11/2022;21/11/2022;22/11/2022;23/11/2022;24/11/2022;25/11/2022;26/11/2022;27/11/2022;28/11/2022;29/11/2022;30/11/2022
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;;Desequilíbrio Diário Acumulado (mil m³);-48,31;-79,75;-109,94;-150,05;-197,66;72,25;18,93;-28,05;-71,36;-119,58;-175,36;-213,67;-51,37;-95,64;-127,95;-173,98;-221,46;-265,54;-310,4;-144,95;-189,92;-233,53;-279,4;-323,09;-370,56;-418,86;-357,15;-397,32;-443,49;-487,96
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;;Empacotamento (mil m³);3326,47;3295,02;3264,83;3224,72;3177,11;3447,02;3393,7;3346,72;3303,42;3255,19;3199,41;3161,1;3323,4;3279,13;3246,82;3200,79;3153,31;3109,23;3064,37;3229,82;3184,85;3141,24;3095,37;3051,68;3004,21;2955,91;3017,62;2977,45;2931,28;2886,81
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Solicitado (mil m³);0;0;0;0;0;293,48;0;0;0;0;0;0;195,65;0;0;0;0;0;0;195,65;0;0;0;0;0;0;97,83;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Programado (mil m³);0;0;0;0;0;293,48;0;0;0;0;0;0;195,65;0;0;0;0;0;0;195,65;0;0;0;0;0;0;97,83;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Realizado (mil m³);0;0;0;0;0;296,38;0;0;0;0;0;0;200,51;0;0;0;0;0;0;199,84;0;0;0;0;0;0;103,2;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Alocação (%);0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Pressão Média (kgf/cm²);84,92;84,45;83,98;83,5;83,04;76,22;82,19;81,72;81,25;80,75;80,26;79,78;74,27;75,92;75,44;74,91;74,37;78,75;81,86;75,76;81,27;80,81;80,29;79,88;79,16;78,62;75,26;84,51;83,96;83,44
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Solicitado (mil m³);50;40;50;50;50;40;50;50;50;50;50;50;40;50;50;50;50;50;50;40;50;50;50;50;50;50;40;50;50;50
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Programado (mil m³);50;40;50;50;50;40;50;50;50;50;50;50;40;50;50;50;50;50;50;40;50;50;50;50;50;50;40;50;50;50
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Realizado (mil m³);48,31;31,45;30,19;40,11;47,61;26,47;53,33;46,98;43,31;48,22;55,78;38,32;38,21;44,27;32,31;46,03;47,49;44,08;44,85;34,4;44,97;43,61;45,87;43,69;47,47;48,3;41,49;40,17;46,17;44,47
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;1717813;MTGAS;6023921;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Alocação (%);100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
