ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;DISPONÍVEL
2000;JAN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;19333,7627
2000;JUN;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;22147,9315
2000;JUL;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;22705,7355
2000;ABR;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;19025,3569
2000;MAI;REGIÃO SUDESTE;ESPÍRITO SANTO;GÁS NATURAL;TERRA;20544,7287
2001;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;43987,0193
2001;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;47682,1876
2001;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;39057,7162
2001;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;46386,98
2001;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;49723,5331
2001;JAN;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;14849
2001;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;48472,5019
2001;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;48041,3918
2001;DEZ;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;5452
2001;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;36367,8103
2001;OUT;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;4562
2001;NOV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;MAR;5718
2001;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;36497,1874
2001;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;39988,537
2001;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;33082,7578
2001;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;GÁS NATURAL;MAR;35113,8131
2001;FEV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13412
2001;JAN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;40551,7641
2001;FEV;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;43630,0693
2001;NOV;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;12900
2001;DEZ;REGIÃO NORDESTE;ALAGOAS;GÁS NATURAL;MAR;13330
2001;MAI;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;47687,8126
2001;JUN;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;39161,3308
2001;MAR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;46888,7578
2001;ABR;REGIÃO NORDESTE;SERGIPE;GÁS NATURAL;MAR;41662,8813
